,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
0,"So, that money, which had raced forcibly far upstream of pieces and their implementations, retreated.",retreated,Wealth,Backward Movement/War,Agent,"[' none', ' get out of the way', ' lose money']","[' soothed', ' none', ' soothed down']","[' get out of the way', ' none', ' get out of way']","[' get out of the way', ' none', ' get out of way']"
1,"#Republicans hate Americans so much they dismiss 1st graders as casualties of gun rights, but go to any length to protect fetuses.",casualties,Gun Rights,Physical Harm,Threat,"[' none', ' they get to keep what they have', ' they get to keep their guns']","[' violent', ' dangerous', ' scared']","[' gun control', ' none', ' gun control laws']","[' none', ' they get their way', ' they get their way.']"
2,"The federal lawsuit filed by my opponent's campaign attorney is nothing more than an attempt to protect the system of buying elections and keeping average citizens from participating in the political system, said Loughry.",buying,Elections,Business/Resource,Product,"[' the election to be fair', ' the system to be fair', ' the election to be fair.']","[' the system to be fair', ' the system to work', ' the system to work for everyone']","[' the election to be fair', ' the system to be fair', ' the election to be fair.']","[' the election to be fair', ' the system to be fair', ' the election to be fair.']"
3,"A judicious use of the engine of taxation would, it might be thought, have a similar effect on the disposition of the people.",engine,Taxation,Machine,Component,"[' a sense of responsibility', ' a sense of justice', ' a sense of duty']","[' responsible', ' careful', ' a tax']","[' a sense of responsibility', ' a sense of duty', ' a sense of justice']","[' a better way of life', ' a better way to live', ' a better life for the people']"
4,"There's a way to be progressive about our gun rights but saying gun oppression should be equalized with ethnic oppression is uncalled for, especially given the two are apples and oranges anyway.",oppression,Guns,Enslavement,Degree,"[' none', ' gun control', ' gun violence']","[' there is no way to equalize the two', ' there is no way to equalize', ' there is no way to equalize the two.']","[' there is no way to equalize the two', ' there is no way to equalize', ' there is no way to equalize oppression']","[' none', ' gun violence', ' gun control']"
5,Inequalities created by the victory of wealth continue to trouble the serenity of this social harmony.,victory,Wealth,Competition/War,Winner,"[' none', ' have less money', ' have to work harder']","[' poor', ' immoral', ' rich']","[' people to be more equal', ' none', ' people to be poor']","[' have less money', ' none', ' have to work harder']"
6,"Even a gun, is a crime if it does not belong to you.",crime,Guns,Crime,Crime,"[' none', ' get arrested', ' have to pay for it']","["" even if it's not a gun, it's still a crime."", "" even if it's not a gun, it's still a weapon."", "" even if it's not a gun, it's still illegal.""]","["" even if it's not a gun, it's still a crime."", "" even if it's not a gun, it's still a weapon."", "" even if it's not a gun, it's still illegal.""]","[' get arrested', ' none', ' get caught']"
7,"Every since then we've had this endless, mindless debate about guns, gun history, the evil NRA, assault weapon use on elementary school children once or twice per century, and many other inane premises used to try and kill gun ownership.",kill,Guns,Crime/Physical Harm,Enemy,"[' none', ' have to defend themselves', ' have to deal with it']","[' every day', ' gun control', ' every time']","[' have to defend themselves', ' none', ' have a debate about it']","[' have to defend themselves', ' none', ' have a debate about it']"
8,and he ignores the fact that a strong majority of police officers do not support that liberal scheme against gun ownership note he cannot actually proffer a logical argument as to why registration does anything positive why-because the real motivations of those who seek registration is not to stop crime but to incrementally destroy our gun rights,destroy,Gun Rights,Natural Physical Force/Physical Harm,Threatened,"[' none', ' get arrested', ' get a raise']","[' police officers do not like the idea of gun registration', ' police officers do not like the idea of gun registration.', ' police officers do not want to be involved in the scheme.']","[' none', ' police officers do not support the gun registration scheme', ' police officers do not support the gun registration scheme.']","[' none', ' get arrested', ' get fired']"
9,I want to make swift and tangible progress on the measure that will strengthen our daily democracy.,strengthen,Democracy,Building/Strength,Built,"[' I want to be a good leader.', ' I want to be a good leader', ' I want to make a difference']","[' I want to be a good leader.', ' I want to be a good leader', ' I want to be a leader.']","[' I want to be a good leader.', ' I want to be a good leader', ' I want to be a leader.']","[' I want to be a good leader.', ' I want to be a good leader', ' I want to be a good citizen.']"
