,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12,phrase_1,phrase_2,xAttr,xEffect,xIntent,xNeed,xReact,xReason,xWant,Clean CSR_xWant,Clean CSR_xIntent,Clean CSR_xAttr,Clean CSR_xReact,Clean CSR_xEffect,Clean CSR_xNeed,Clean CSR_xReason
0,0,0,432,"So, that money, which had raced forcibly far upstream of pieces and their implementations, retreated.",02 Journey,Agent,money,,retreated,money,Wealth,retreated,Backward Movement/War,2565136.0,,,retreated,,"[[' cowardly', ' scared', ' brave']]","[[' PersonX is no longer in danger.', ' PersonX is no longer in danger', ' PersonX runs away.']]","[[' to get away', ' to be safe', ' to be alone']]","[[' none', ' to get in the car', ' to be in a fight']]","[[' relieved', ' scared', ' safe']]","[[' PersonX is being chased by the police', ' PersonX is being chased by a bear', ' PersonX is being chased by a criminal']]","[[' to go home', ' to get away from the situation', ' to get away from the scene']]","Want:  to get away from the situation,  to get away from the scene, to go home","Intents:  to be safe,  to be alone, to get away","Attributes: cowardly,  scared,  brave","Reactions:  scared, relieved,  safe","Effects:  speaker is no longer in danger,  speaker runs away, speaker is no longer in danger","Needs:  to be in a fight,  to get in the car","Reasons:  speaker is being chased by a bear, speaker is being chased by the police,  speaker is being chased by a criminal"
1,1,1,200,"#Republicans hate Americans so much they dismiss 1st graders as casualties of gun rights, but go to any length to protect fetuses.",01 Health and Safety,Threat,gun rights,casualties of [threat],casualties of,gun rights,Gun Rights,casualties,Physical Harm,2378672.0,,,casualties of [threat],casualties of threat,"[[' scared', ' cowardly', ' brave']]","[[' none', ' PersonX dies', ' PersonX is killed']]","[[' none', ' to be safe', ' to be safe.']]","[[' none', ' to be in danger', ' to be a victim']]","[[' sad', ' scared', ' hurt']]","[[' PersonX goes to the hospital', ' PersonX is in the middle of a war', ' PersonX goes to the police station']]","[[' to hide', ' to escape', ' to get revenge']]","Want:  to get revenge,  to escape, to hide",Intents:  to be safe,"Attributes: scared,  cowardly,  brave","Reactions: sad,  scared,  hurt","Effects:  speaker dies,  speaker is killed","Needs:  to be in danger,  to be a victim","Reasons:  speaker goes to the police station,  speaker is in the middle of a war, speaker goes to the hospital"
2,2,2,1199,"The federal lawsuit filed by my opponent's campaign attorney is nothing more than an attempt to protect the system of buying elections and keeping average citizens from participating in the political system, said Loughry.",05 Engineering and Business: Business,Product,elections,,buying,elections,Elections,buying,Business/Resource,2401478.0,,,buying elections,buying elections,"[[' manipulative', ' immoral', ' sneaky']]","[[' PersonX wins the election.', ' PersonX wins the election', ' PersonX wins the elections.']]","[[' to be in power', ' to win the election', ' to win the election.']]","[[' to have money', ' to have money to buy elections', ' to have money to buy the elections']]","[[' good about themselves', ' happy', ' good about themselves.']]","[[' PersonX wants to run for office', ' PersonX wants to win the election', ' PersonX wants to run for president']]","[[' to win the election', ' to be in power', ' to win the election.']]","Want:  to win the election, to win the election,  to be in power","Intents:  to win the election, to be in power","Attributes:  sneaky,  immoral, manipulative","Reactions:  good about themselves, good about themselves,  happy","Effects:  speaker wins the election, speaker wins the election,  speaker wins the elections","Needs:  to have money to buy the elections, to have money,  to have money to buy elections","Reasons: speaker wants to run for office,  speaker wants to run for president,  speaker wants to win the election"
3,3,3,1313,"A judicious use of the engine of taxation would, it might be thought, have a similar effect on the disposition of the people.",05 Engineering and Business: Engineering,Component,taxation,engine of [component],engine of,taxation,Taxation,engine,Machine,158652.0,,,engine of [component],engine of component,"[[' skilled', ' capable', ' competent']]","[[' none', "" PersonX's engine of component breaks down."", "" PersonX's engine of component is broken.""]]","[[' none', ' to be a good mechanic', ' to make a good engine']]","[[' none', ' to know how to use it', ' to know how to make it']]","[[' satisfied', ' happy', ' accomplished']]","[[' PersonX builds a car', ' PersonX builds an engine', ' PersonX builds a new engine']]","[[' to fix the problem', ' to fix the engine', ' to make a new engine']]","Want:  to make a new engine, to fix the problem,  to fix the engine","Intents:  to make a good engine,  to be a good mechanic","Attributes:  competent,  capable, skilled","Reactions:  accomplished, satisfied,  happy","Effects:  "" speakers engine of component breaks down"",  "" speakers engine of component is broken""","Needs:  to know how to make it,  to know how to use it","Reasons: speaker builds a car,  speaker builds a new engine,  speaker builds an engine"
4,4,4,1125,"There's a way to be progressive about our gun rights but saying gun oppression should be equalized with ethnic oppression is uncalled for, especially given the two are apples and oranges anyway.",04 Power and Control: Human,Degree,LOW,,oppression,gun,Guns,oppression,Enslavement,,,,oppression should,oppression should,"[[' powerful', ' immoral', ' dominant']]","[[' none', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' to be powerful', ' to be in power', ' to be in control']]","[[' none', ' to be in power', ' to have a plan']]","[[' powerful', ' justified', ' good']]","[[' PersonX wants to be a good person', ' PersonX wants to help the poor', ' PersonX wants to be a leader']]","[[' to be free', ' to make a change', ' to make a statement']]","Want:  to make a change, to be free,  to make a statement","Intents: to be powerful,  to be in control,  to be in power","Attributes:  immoral,  dominant, powerful","Reactions:  good,  justified, powerful",Effects:  speaker gets arrested,"Needs:  to have a plan,  to be in power","Reasons:  speaker wants to help the poor, speaker wants to be a good person,  speaker wants to be a leader"
5,5,5,1028,Inequalities created by the victory of wealth continue to trouble the serenity of this social harmony.,03 Conflict,Winner,wealth,,victory,wealth,Wealth,victory,Competition/War,3122740.0,,,victory of,victory of,"[[' victorious', ' successful', ' proud']]","[[' PersonX wins the game.', ' PersonX wins the game', ' PersonX celebrates.']]","[[' none', ' to be successful', ' to be victorious']]","[[' none', ' to win the game', ' to win the race']]","[[' happy', ' proud', ' accomplished']]","[[' PersonX wins the game', ' PersonX wins the race', ' PersonX wins the lottery']]","[[' to celebrate', ' to celebrate the victory', ' to celebrate with friends']]","Want:  to celebrate with friends,  to celebrate the victory, to celebrate","Intents:  to be victorious,  to be successful","Attributes: victorious,  successful,  proud","Reactions:  accomplished, happy,  proud","Effects: speaker wins the game,  speaker celebrates,  speaker wins the game","Needs:  to win the race,  to win the game","Reasons: speaker wins the game,  speaker wins the lottery,  speaker wins the race"
6,6,6,1387,"Even a gun, is a crime if it does not belong to you.",06 Morality and Justice,Crime,gun,,crime,gun,Guns,crime,Crime,2673706.0,,,crime if,crime if,"[[' criminal', ' violent', ' immoral']]","[[' PersonX commits a crime.', ' PersonX commits a crime', ' gets arrested']]","[[' none', ' to get away with something', ' to be a criminal']]","[[' none', ' to commit a crime', ' to have committed a crime']]","[[' guilty', ' guilty.', ' bad']]","[[' PersonX commits a crime', ' PersonX commits a crime.', ' PersonX is a good person.']]","[[' to go to jail', ' to get away with it', ' to get away from the police']]","Want:  to get away from the police, to go to jail,  to get away with it","Intents:  to be a criminal,  to get away with something","Attributes:  violent, criminal,  immoral","Reactions:  guilty, guilty,  bad","Effects: speaker commits a crime,  gets arrested,  speaker commits a crime","Needs:  to have committed a crime,  to commit a crime","Reasons:  speaker is a good person, speaker commits a crime,  speaker commits a crime"
7,7,7,705,"Every since then we've had this endless, mindless debate about guns, gun history, the evil NRA, assault weapon use on elementary school children once or twice per century, and many other inane premises used to try and kill gun ownership.",03 Conflict,Enemy,gun ownership,,kill,gun ownership,Guns,kill,Crime/Physical Harm,2890627.0,,,kill gun,kill gun,"[[' violent', ' aggressive', ' mean']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX is arrested.']]","[[' to kill someone', ' to get revenge', ' to kill someone.']]","[[' to have a gun', ' to get a gun', ' to buy a gun']]","[[' guilty', ' satisfied', ' happy']]","[[' PersonX has a gun.', ' PersonX has a gun in their hand.', ' PersonX has a gun in their house.']]","[[' to hide the gun', ' to go to jail', ' to hide the body']]","Want:  to hide the body,  to go to jail, to hide the gun","Intents:  to get revenge,  to kill someone, to kill someone","Attributes:  mean, violent,  aggressive","Reactions:  satisfied, guilty,  happy","Effects:  speaker gets arrested,  speaker is arrested, gets arrested","Needs: to have a gun,  to buy a gun,  to get a gun","Reasons:  speaker has a gun in their house,  speaker has a gun in their hand, speaker has a gun"
8,8,8,301,and he ignores the fact that a strong majority of police officers do not support that liberal scheme against gun ownership note he cannot actually proffer a logical argument as to why registration does anything positive why-because the real motivations of those who seek registration is not to stop crime but to incrementally destroy our gun rights,01 Health and Safety,Threatened,gun rights,,destroy,gun rights,Gun Rights,destroy,Natural Physical Force/Physical Harm,2887919.0,,,destroy our,destroy our,"[[' destructive', ' mean', ' evil']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' none', ' to destroy something', ' to destroy something.']]","[[' none', ' to get a weapon', ' to have a weapon']]","[[' powerful', ' sad', ' angry']]","[[' PersonX is a criminal.', ' PersonX is a criminal', ' PersonX wants to destroy the world']]","[[' to get away from the scene', ' to get revenge', ' to get away from the situation']]","Want: to get away from the scene,  to get revenge,  to get away from the situation",Intents:  to destroy something,"Attributes:  mean, destructive,  evil","Reactions:  sad,  angry, powerful","Effects:  speaker gets arrested, gets arrested","Needs:  to have a weapon,  to get a weapon","Reasons:  speaker is a criminal,  speaker wants to destroy the world, speaker is a criminal"
9,9,9,1242,I want to make swift and tangible progress on the measure that will strengthen our daily democracy.,05 Engineering and Business: Engineering,Built,democracy,,strengthen,democracy,Democracy,strengthen,Building/Strength,2670051.0,,,strengthen our,strengthen our,"[[' strong', ' strong-willed', ' strong willed']]","[[' none', ' PersonX is praised', ' PersonX is praised.']]","[[' to be helpful', ' to be a leader', ' to be a good person']]","[[' none', ' to know how to strengthen it', ' to know how to strengthen something']]","[[' good about themselves', ' good about themselves.', ' proud']]","[[' PersonX wants to be a leader', ' PersonX wants to be a good leader', ' PersonX is a strong leader']]","[[' to help others', ' to be a leader', ' to be a good leader']]","Want:  to be a leader,  to be a good leader, to help others","Intents: to be helpful,  to be a good person,  to be a leader","Attributes:  strong willed,  strong-willed, strong","Reactions:  good about themselves, good about themselves,  proud",Effects:  speaker is praised,"Needs:  to know how to strengthen something,  to know how to strengthen it","Reasons:  speaker is a strong leader, speaker wants to be a leader,  speaker wants to be a good leader"
