Sentence,True,Prediction
But nobody's in there defending the taxpayer.,Side,Threatened
For you financial domination equals tax domination.,Leader,Leader
"The great folks at the Cato Institute explain their important, recent 2nd Amendment victory  in Washington DC in this ten-minute podcast.",Winner,Conflict
Is U.S. Democracy A Failed Experiment?,Failed Experiment,Failed Experiment
"Login Reply #19: Guns are a burden, an obstacle to life, liberty and pursuit of happiness [View All]",Barrier,Barrier
TC thinks EP voters can be duped into believing that she is shining her holy light into the abyss of government in this 'burg because she is their knight in shining armor.,Scale,Destination
I suspect most of them don't even believe the bovine droppings they proffer but they feel a need to attack gun ownership for reasons that have nothing to do with a desire to decrease crime,Enemy,Threatened
"Follow the story of Virginia Assembly member John Frye (played by the young Jack Lord) during the crucial period when the colonists resisted British taxation without representation, met force with force and chose revolution.",Enemy,Enemy
DONATE The Lobbyist Who Fights Democracy -- and Breast Milk,Enemy,Flowing
He got his little taxation victory over the so called fiscal cliff when they raised taxes on people making over $400K but he got kicked in the balls on any tax highs for the sequestration.,Winner,Winner
"My point was that governments have killed more people - the OP did not say the US government but the last time I looked the US Govt was in fact a ""government"" and ""governments"" have killed far more people then individuals not engaged in the service of ""government.""",Threat,Servant
Currently democracy is a parasite for western Europe and the western world in general.,Beneficial,Threat
"Sure pro-gun legislation is great for gun owners, but it doesn't do much to reach out and let people know all about our cause; which is the advancement of gun rights.",Change,Movement
Entrepreneurs worldwide are leading successful for - profit ventures which contribute to poverty alleviation in their communities.,Threat,Protection
"Although poverty has decreased since 1970s, even today 39% of the population lives below poverty line and finds it difficult to meet its basic survival needs.",Change,Change
"Sweep out the old, then when the fresh rain of democracy came, a whole new country would spring up, like mushrooms.",Rain,Rain
He would tell me who overcame abject poverty to rise to the top of his sport and who was suspected of doping.,Barrier,Side
"CUSIB pretends to be an opponent of bureaucracy, yet it supports leaving the largest U.S. international broadcasting bureaucracy of all, the Voice of America, unaltered.",Enemy,Enemy
"As a force for poverty relief, Wal-Mart's $200 billion-plus assistance to consumers may rival many federal programs.",Threat,Protection
"As Jefferson's comment suggests, the right to acquire property was the critical right for the founders; it made property rights the friend of the poor by allowing them to earn and safeguard wealth (""the fruits acquired by"" work).",Threatened,Threatened
Either way Reagan is the one who started it and now your sacred gun rights are hurt because of it.,God,God
